Ni,Ti,Hf,Co,Cu,Zr,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,T,a,b,c,beta,ref,,,,,,,,,
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0592,4.076,4.8886,103.5,O. Benafan2021 ,3.0962,0.988049868,0.930872437,1.116453139,0.930872437,0.905839856,1.033832378,-0.001516137,0.122 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0565,4.0836,4.8866,103.4,O. Benafan2021 ,3.0958,0.987305381,0.932728617,1.116140577,0.932728617,0.906184878,1.035180821,-0.000141609,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0478,4.0825,4.8714,103.2,O. Benafan2021 ,3.0937,0.985163397,0.933110332,1.113424047,0.933110332,0.905971549,1.034175434,-0.003509835,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0528,4.0782,4.8772,103.2,O. Benafan2021 ,3.0941,0.986652015,0.932007005,1.114605602,0.932007005,0.907233023,1.032952606,-0.002126339,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0466,4.0821,4.8712,103.3,O. Benafan2021 ,3.0937,0.984775512,0.933018907,1.113378334,0.933018907,0.904792432,1.034788946,-0.004449894,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0529,4.1029,4.8666,103.27,O. Benafan2021 ,3.0934,0.98690761,0.937863972,1.112434816,0.937863972,0.906297935,1.03994701,0.002160513,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0508,4.1148,4.8666,103.19,O. Benafan2021 ,3.0937,0.986133109,0.940492932,1.112326942,0.940492932,0.906481271,1.042285542,0.004413309,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0491,4.1172,4.8595,103.15,O. Benafan2021 ,3.0921,0.986093593,0.941528424,1.111278873,0.941528424,0.906590318,1.043144311,0.004695605,0.118 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0282,4.0835,4.8347,102.79,O. Benafan2021 ,3.0786,0.983628922,0.937916761,1.110455777,0.937916761,0.907991678,1.036547949,-0.000954641,0.117 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0539,4.0972,4.8658,103.25,O. Benafan2021 ,3.0934,0.987230879,0.936561034,1.112251948,0.936561034,0.906657451,1.038358757,0.001013832,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0557,4.0759,4.8848,103.25,O. Benafan2021 ,3.0973,0.986568947,0.93051901,1.115189102,0.93051901,0.906848023,1.031660006,-0.003486249,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0485,4.1407,4.8703,103.21,O. Benafan2021 ,3.0931,0.985580809,0.946596311,1.11338856,0.946596311,0.906155847,1.049194638,0.011246822,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0554,4.1037,4.8685,103.24,O. Benafan2021 ,3.0935,0.987683853,0.938016518,1.112833155,0.938016518,0.907180225,1.039900571,0.003594853,0.119 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0444,4.0959,4.8445,103.2,O. Benafan2021 ,3.0917,0.984700974,0.936778687,1.107991979,0.936778687,0.904479155,1.038241107,-0.004940296,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0427,4.0982,4.845,103.2,O. Benafan2021 ,3.0911,0.984342144,0.937486659,1.108321424,0.937486659,0.904310873,1.03902576,-0.004255175,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0549,4.0917,4.8721,103.3,O. Benafan2021 ,3.0957,0.986820428,0.934608914,1.112864602,0.934608914,0.906059672,1.036552385,-0.001143613,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0591,4.0791,4.8902,103.5,O. Benafan2021 ,3.0964,0.987953753,0.93152024,1.116746409,0.93152024,0.905838925,1.034551832,-0.000656041,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0565,4.0886,4.8824,103.5,O. Benafan2021 ,3.0956,0.987369169,0.933930994,1.115253311,0.933930994,0.90512214,1.03722923,-1.41028E-06,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.046,4.0901,4.8568,103.2,O. Benafan2021 ,3.0924,0.984995473,0.935240411,1.110553685,0.935240411,0.905238237,1.036536221,-0.003979654,0.120 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0444,4.0876,4.8556,103.2,O. Benafan2021 ,3.0934,0.984159824,0.934366612,1.109920375,0.934366612,0.904537413,1.035567782,-0.006321435,0.121 
50.3,29.7,20,0,0,0,1.68714,0.604931,2.994,0.9379,0.73285,1.40485,1.68819,-37.81554,8.547594342,25,3.0457,4.0903,4.8547,103.3,O. Benafan2021 ,3.0926,0.984834767,0.935225657,1.110001711,0.935225657,0.904100197,1.0372364,-0.005061802,0.122 
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,25,2.89,4.12,4.63,96.8,Vladimir2019,3.015,0.95854063,0.966262003,1.085872105,0.966262003,0.932583231,1.021866711,-0.001338591,0.078 
50.6,49.4,0,0,0,0,1.73228,0.623962,2.988,0.9418,0.7147,1.3747,1.62338,-34.99496,5.762227037,25,2.876,4.132,4.622,97,Vladimir2019,3.013,0.954530368,0.969719622,1.084715414,0.969719622,0.92775179,1.027110866,-0.003442287,0.083 
49,50,0,1,0,0,1.7296,0.61255,3,0.9395,0.7171,1.375,1.6253,-34.86,6.170374253,25,2.882,4.115,4.644,97.3,Vladimir2019,3.014,0.95620438,0.965409557,1.089516885,0.965409557,0.927707341,1.024910636,-0.002387816,0.084 
46,50,0,4,0,0,1.7284,0.5977,3,0.938,0.7234,1.375,1.6262,-34.44,6.921669938,25,2.874,4.108,4.63,97.2,Vladimir2019,3.013,0.953866578,0.964087175,1.086592896,0.964087175,0.926081243,1.022720303,-0.00863705,0.085 
45,50,0,5,0,0,1.728,0.59275,3,0.9375,0.7255,1.375,1.6265,-34.3,7.11419558,25,2.871,4.104,4.697,97.1,Vladimir2019,3.012,0.953187251,0.963468204,1.102682786,0.963468204,0.927906503,1.021276967,0.004900762,0.084 
45,50,0,0,5,0,1.729,0.6211,3,0.9455,0.717,1.375,1.623,-32.04,7.11419558,-190,2.903,4.147,4.613,96.2,Vladimir2019,3.027,0.959035349,0.968738626,1.077596162,0.968738626,0.935981942,1.019709277,-0.004710081,0.074 
42.5,50,0,0,7.5,0,1.7285,0.6229,3,0.94825,0.718,1.375,1.622,-30.59,7.520027337,-190,2.911,4.228,4.517,90,Vladimir2019,3.03,0.960726073,0.986682334,1.054125852,0.986682334,0.960726073,0.986682334,-0.00076096,0.044 
42.5,50,0,0,7.5,0,1.7285,0.6229,3,0.94825,0.718,1.375,1.622,-30.59,7.520027337,-190,2.907,4.17,4.596,95.5,Vladimir2019,3.03,0.959405941,0.973146956,1.072561969,0.973146956,0.940186612,1.018716037,-0.003220257,0.068 
40,50,0,0,10,0,1.728,0.6247,3,0.951,0.719,1.375,1.621,-29.16,7.842998534,-190,2.901,4.249,4.515,90,Vladimir2019,3.031,0.957109865,0.991255927,1.053311487,0.991255927,0.957109865,0.991255927,-0.00068039,0.045 
40,50,0,0,10,0,1.728,0.6247,3,0.951,0.719,1.375,1.621,-29.16,7.842998534,-190,2.872,4.192,4.577,95.2,Vladimir2019,3.031,0.947542065,0.977958306,1.067775565,0.977958306,0.931153156,1.021314678,-0.014610918,0.075 
37.5,50,0,0,12.5,0,1.7275,0.6265,3,0.95375,0.72,1.375,1.62,-27.75,8.100452855,-190,2.896,4.252,4.514,90,Vladimir2019,3.034,0.954515491,0.990974962,1.052036918,0.990974962,0.954515491,0.990974962,-0.004877277,0.047 
35,50,0,0,15,0,1.727,0.6283,3,0.9565,0.721,1.375,1.619,-26.36,8.302188563,-190,2.899,4.26,4.516,90,Vladimir2019,3.043,0.952678278,0.989903019,1.049390149,0.989903019,0.952678278,0.989903019,-0.010363066,0.049 
30,50,0,0,20,0,1.726,0.6319,3,0.962,0.723,1.375,1.617,-23.64,8.560535159,-190,2.9,4.264,4.512,90,Vladimir2019,3.046,0.952068286,0.989856637,1.047428036,0.989856637,0.952068286,0.989856637,-0.012892181,0.050 
50,47,0,0,0,3,1.7237,0.62791,3,0.9391,0.718,1.3795,1.634,-38.6036,6.70632965,77,2.92,4.114,4.67,97.8,Vladimir2019,,,,,,,,,
50,45,0,0,0,5,1.7195,0.63485,3,0.9385,0.72,1.3825,1.64,-40.81,7.11419558,77,2.93,4.11,4.72,98.5,Vladimir2019,,,,,,,,,
50,40,0,0,0,10,1.709,0.6522,3,0.937,0.725,1.39,1.655,-45.64,7.842998534,102,2.98,4.1,4.78,100.3,Vladimir2019,,,,,,,,,
50,35,0,0,0,15,1.6985,0.66955,3,0.9355,0.73,1.3975,1.67,-49.49,8.302188563,182,3.03,4.09,4.87,101.8,Vladimir2019,,,,,,,,,
50,32,0,0,0,18,1.6922,0.67996,3,0.9346,0.733,1.402,1.679,-51.3296,8.479085095,237,3.05,4.08,4.92,102.5,Vladimir2019,,,,,,,,,
50,30,0,0,0,20,1.688,0.6869,3,0.934,0.735,1.405,1.685,-52.36,8.560535159,282,3.07,4.08,4.95,103.7,Vladimir2019,,,,,,,,,
50,38,12,0,0,0,1.7036,0.60802,3,0.9382,0.7258,1.393,1.6634,-36.68,8.05366492,132,3.006,4.116,4.803,101.2,Vladimir2019,,,,,,,,,
50,35,15,0,0,0,1.697,0.60565,3,0.93775,0.7285,1.3975,1.673,-37.1,8.302188563,177,3.025,4.096,4.826,102,Vladimir2019,,,,,,,,,
50,32,18,0,0,0,1.6904,0.60328,3,0.9373,0.7312,1.402,1.6826,-37.52,8.479085095,227,3.051,4.09,4.85,102.5,Vladimir2019,,,,,,,,,
50,30,20,0,0,0,1.686,0.6017,3,0.937,0.733,1.405,1.689,-37.8,8.560535159,247,3.063,4.083,4.89,103,Vladimir2019,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,25,2.889,4.12,4.622,96.8,K. Otsuka2005,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,25,2.883,4.117,4.623,96.8,K. Otsuka2005,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,25,2.885,4.12,4.622,96.8,K. Otsuka2005,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,25,2.898,4.108,4.646,96.78,K. Otsuka2005,,,,,,,,,
47,53,0,0,0,0,1.7186,0.58519,3.06,0.931,0.7165,1.3765,1.6331,-34.874,5.747851467,-196,2.896,4.0992,4.6767,98.55,S.D. Prokoshkin2008,,,,,,,,,
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,-196,2.896,4.0992,4.6695,98.13,S.D. Prokoshkin2008,,,,,,,,,
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-196,2.876,4.1175,4.643,97.31,S.D. Prokoshkin2008,,,,,,,,,
51.7,48.3,0,0,0,0,1.73646,0.635809,2.966,0.9451,0.71415,1.37415,1.62041,-34.95954,5.758019241,-196,2.8714,4.1214,4.6377,97.12,S.D. Prokoshkin2008,,,,,,,,,
47,53,0,0,0,0,1.7186,0.58519,3.06,0.931,0.7165,1.3765,1.6331,-34.874,5.747851467,66,2.9041,4.1212,4.6455,97.87,S.D. Prokoshkin2008,3.0182,0.962196011,0.965518676,1.088352181,0.965518676,0.928470678,1.029500965,0.001575759,0.085 
50,50,0,0,0,0,1.73,0.6175,3,0.94,0.715,1.375,1.625,-35,5.762825659,68,2.9011,4.1277,4.6496,97.34,S.D. Prokoshkin2008,3.0182,0.961202041,0.967041502,1.089312733,0.967041502,0.931549131,1.026958487,0.004243169,0.081 
50.7,49.3,0,0,0,0,1.73266,0.625039,2.986,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,-20,2.8806,4.1308,4.6251,96.85,S.D. Prokoshkin2008,3.0104,0.956882806,0.970275276,1.086380406,0.970275276,0.930917461,1.026508344,0.001438868,0.080 
51.7,48.3,0,0,0,0,1.73646,0.635809,2.966,0.9451,0.71415,1.37415,1.62041,-34.95954,5.758019241,-60,2.8741,4.1302,4.6233,96.75,S.D. Prokoshkin2008,3.0058,0.95618471,0.971619012,1.087619529,0.971619012,0.931125509,1.027133838,0.003445948,0.079 
48,49,3,0,0,0,1.7158,0.59359,3.04,0.93355,0.7187,1.3805,1.64,-35.3472,6.709758711,25,2.923,4.097,4.836,100.04,Yunxiang Tong2009,,,,,,,,,