Ni,Ti,Hf,Co,Cu,Zr,Fe,en_p,ea,valence,pettifor,rad_ionic,rad_slater,rad_clementi,?H,?S,size_diff,T,a,b,c,beta,ref
49.9,50.1,0,0,0,0,0,1.72962,0.616423,6.994,0.9397,0.71505,1.37505,1.62527,-34.99986,5.762809031,0.018181121,25,4.67,4.14,2.91,97.55,s. qiu2009
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-28,2.8934,4.6354,4.127,97.18,"J, khalil2003"
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,21,2.893,4.633,4.134,96.96,"J, khalil2003"
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,25,2.8964,4.6234,4.1351,96.76,"J, khalil2003"
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,25,4.646,4.108,2.898,97.78,Guowu Ren2016
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,23,2.87,4.11,4.6,97.4,Dautovich1965
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.904,4.121,4.649,97.9,Zijderveld 1968
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,-192,2.874,4.113,4.63,97,Otsuka1971
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,-53,2.88,4.148,4.621,96.4,Otsuka1971
49.75,50.25,0,0,0,0,0,1.72905,0.6148075,6.985,0.93925,0.715125,1.375125,1.625675,-34.999125,5.762721734,0.018179938,-178,2.872,4.124,4.632,96.9,Otsuka1971
49.8,50.2,0,0,0,0,0,1.72924,0.615346,6.988,0.9394,0.7151,1.3751,1.62554,-34.99944,5.762759147,0.018180351,20,2.893,4.12,4.657,97.6,Monasevich1979 
50.3,49.7,0,0,0,0,0,1.73114,0.620731,7.018,0.9409,0.71485,1.37485,1.62419,-34.99874,5.762676006,0.018183475,20,2.889,4.12,4.622,96.8,Monasevich1980
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.909,4.141,4.639,96.8,Tadaki1980
49.2,50.8,0,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,0.018174204,-263,2.884,4.11,4.665,98.1,Buhrer1983
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,-45,2.887,4.114,4.634,96.7,Savvinov1984
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,-150,2.898,4.143,4.653,97.3,Savvinov1984
49.2,50.8,0,0,0,0,0,1.72696,0.608884,6.952,0.9376,0.7154,1.3754,1.62716,-34.99104,5.761761422,0.018174204,20,2.898,4.108,4.646,97.78,Kudoh1985
48.5,51.5,0,0,0,0,0,1.7243,0.601345,6.91,0.9355,0.71575,1.37575,1.62905,-34.9685,5.759083798,0.018163727,20,2.9,4.11,4.66,97.8,Khachin1992
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.89,4.12,4.64,97.3,Khachin1992
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,-50,2.89,4.15,4.64,97.1,Khachin1992
50.1,49.9,0,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,21,2.904,4.141,4.654,97.1,Mironov1994
50.1,49.9,0,0,0,0,0,1.73038,0.618577,7.006,0.9403,0.71495,1.37495,1.62473,-34.99986,5.762809031,0.018182443,74,2.902,4.155,4.632,96.6,Mironov1994
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,20,2.886,4.138,4.629,96.7,Gundyrev1999
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,-20,2.883,4.132,4.636,96.9,Gundyrev1999
50.5,49.5,0,0,0,0,0,1.7319,0.622885,7.03,0.9415,0.71475,1.37475,1.62365,-34.9965,5.762409952,0.018184215,-71,2.8815,4.1232,4.6256,97,Lukas2002
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,20,2.909,4.1135,4.657,97.9,Prokoshkin2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,20,2.882,4.143,4.614,96.35,Prokoshkin2004
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,50,2.91,4.123,4.654,97.8,Prokoshkin2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-12,2.882,4.128,4.623,96.7,Prokoshkin2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-28,2.8934,4.127,4.6354,97.18,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,21,2.893,4.134,4.633,96.96,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,25,2.8964,4.1351,4.6234,96.76,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-38,2.8786,4.134,4.6215,96.65,Khalil2004
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-8,2.8792,4.1394,4.614,96.47,Khalil2004
51,49,0,0,0,0,0,1.7338,0.62827,7.06,0.943,0.7145,1.3745,1.6223,-34.986,5.761162748,0.018184794,-150,2.89,4.14,4.65,97.1,Khachin1992
37,53.5,0,0,9.5,0,0,1.7148,0.586645,6.885,0.93995,0.72055,1.37675,1.63065,-28.9803,7.699829461,0.018114164,-87,3.031,4.254,4.823,96.96,Miyazaki1996
49,50,0,1,0,0,0,1.7296,0.61255,6.99,0.9395,0.7171,1.375,1.6253,-34.86,6.170374253,0.018181818,25,2.882,4.115,4.644,97.3,Vladimir2019
46,50,0,4,0,0,0,1.7284,0.5977,6.96,0.938,0.7234,1.375,1.6262,-34.44,6.921669938,0.018181818,25,2.874,4.108,4.63,97.2,Vladimir2019
45,50,0,5,0,0,0,1.728,0.59275,6.95,0.9375,0.7255,1.375,1.6265,-34.3,7.11419558,0.018181818,25,2.871,4.104,4.697,97.1,Vladimir2019
45,50,0,0,5,0,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,-190,2.903,4.147,4.613,96.2,Vladimir2019
42.5,50,0,0,7.5,0,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,0.018181818,-190,2.907,4.17,4.596,95.5,Vladimir2019
40,50,0,0,10,0,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,-190,2.872,4.192,4.577,95.2,Vladimir2019
47,53,0,0,0,0,0,1.7186,0.58519,6.82,0.931,0.7165,1.3765,1.6331,-34.874,5.747851467,0.018129284,-196,2.896,4.0992,4.6767,98.55,S.D. Prokoshkin2008
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,-196,2.896,4.0992,4.6695,98.13,S.D. Prokoshkin2008
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-196,2.876,4.1175,4.643,97.31,S.D. Prokoshkin2008
51.7,48.3,0,0,0,0,0,1.73646,0.635809,7.102,0.9451,0.71415,1.37415,1.62041,-34.95954,5.758019241,0.018182546,-196,2.8714,4.1214,4.6377,97.12,S.D. Prokoshkin2008
47,53,0,0,0,0,0,1.7186,0.58519,6.82,0.931,0.7165,1.3765,1.6331,-34.874,5.747851467,0.018129284,66,2.9041,4.1212,4.6455,97.87,S.D. Prokoshkin2008
50,50,0,0,0,0,0,1.73,0.6175,7,0.94,0.715,1.375,1.625,-35,5.762825659,0.018181818,68,2.9011,4.1277,4.6496,97.34,S.D. Prokoshkin2008
50.7,49.3,0,0,0,0,0,1.73266,0.625039,7.042,0.9421,0.71465,1.37465,1.62311,-34.99314,5.762010861,0.018184665,-20,2.8806,4.1308,4.6251,96.85,S.D. Prokoshkin2008
51.7,48.3,0,0,0,0,0,1.73646,0.635809,7.102,0.9451,0.71415,1.37415,1.62041,-34.95954,5.758019241,0.018182546,-60,2.8741,4.1302,4.6233,96.75,S.D. Prokoshkin2008
48,49,3,0,0,0,0,1.7158,0.59359,6.88,0.93355,0.7187,1.3805,1.64,-35.3472,6.709758711,0.028005793,25,2.923,4.097,4.836,100.04,Yunxiang Tong2009
46,49,5,0,0,0,0,1.7038,0.57047,6.76,0.92725,0.7215,1.3845,1.6518,-35.42,7.121201244,0.032580862,25,2.918,4.099,4.852,100.4,Yunxiang Tong2009
44,49,7,0,0,0,0,1.6918,0.54735,6.64,0.92095,0.7243,1.3885,1.6636,-35.3584,7.457001947,0.036316664,25,2.937,4.108,4.845,99.89,Yunxiang Tong2009
41,49,10,0,0,0,0,1.6738,0.51267,6.46,0.9115,0.7285,1.3945,1.6813,-35.014,7.859682994,0.040848123,25,2.951,4.116,4.85,99.66,Yunxiang Tong2009
36,49,15,0,0,0,0,1.6438,0.45487,6.16,0.89575,0.7355,1.4045,1.7108,-33.768,8.329828957,0.046442467,25,2.976,4.117,4.865,99.32,Yunxiang Tong2009
45,50,5,0,0,0,0,1.7,0.5597,6.7,0.92425,0.722,1.385,1.6545,-35.28,7.11419558,0.032490975,25,2.8235,4.0696,4.663,101.0696,Mehrdad2008
40,50,10,0,0,0,0,1.67,0.5019,6.4,0.9085,0.729,1.395,1.684,-34.72,7.842998534,0.04070902,25,2.9011,4.1063,4.7197,101.1063,Mehrdad2008
35,50,15,0,0,0,0,1.64,0.4441,6.1,0.89275,0.736,1.405,1.7135,-33.32,8.302188563,0.046263345,25,2.996,4.1159,4.7688,101.1159,Mehrdad2008
30,50,20,0,0,0,0,1.61,0.3863,5.8,0.877,0.743,1.415,1.743,-31.08,8.560535159,0.050096985,25,3.0789,4.1247,4.8724,101.1247,Mehrdad2008
45,50,0,0,5,0,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,25,2.903,4.147,4.613,96.22,A. Evirgen2016
42.5,50,0,0,7.5,0,0,1.7285,0.6229,7.075,0.94825,0.718,1.375,1.622,-30.59,7.520027337,0.018181818,25,2.907,4.17,4.596,95.487,A. Evirgen2016
40,50,0,0,10,0,0,1.728,0.6247,7.1,0.951,0.719,1.375,1.621,-29.16,7.842998534,0.018181818,25,2.872,4.192,4.577,95.204,A. Evirgen2016
45,50,0,0,5,0,0,1.729,0.6211,7.05,0.9455,0.717,1.375,1.623,-32.04,7.11419558,0.018181818,25,2.927,4.074,4.799,103.21,Liangliang2014
37.5,50,0,0,12.5,0,0,1.7275,0.6265,7.125,0.95375,0.72,1.375,1.62,-27.75,8.100452855,0.018181818,25,2.896,4.16,4.698,99.29,Liangliang2014
37.5,50,0,0,12.5,0,0,1.7275,0.6265,7.125,0.95375,0.72,1.375,1.62,-27.75,8.100452855,0.018181818,25,2.896,4.16,4.698,99.57,Liangliang2014
35,50,0,0,15,0,0,1.727,0.6283,7.15,0.9565,0.721,1.375,1.619,-26.36,8.302188563,0.018181818,25,2.8745,4.203,4.659,96.94,Liangliang2014
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-130.233,2.8963927,4.1661,4.6216562,96.1908,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-127.0158,2.8960185,4.1665,4.6206028,96.1466,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-123.4682,2.8961969,4.1669,4.619905,96.1359,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-120.0856,2.8963756,4.1678,4.6192067,96.1084,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-116.5378,2.896462,4.1679,4.6186862,96.0949,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-113.1554,2.8963642,4.1684,4.6178106,96.0572,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-109.6902,2.8966347,4.1687,4.6172898,96.0391,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-106.3074,2.8969056,4.1697,4.6167688,96.0344,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-101.1099,2.8969892,4.17,4.6155445,95.9962,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-97.6446,2.8968912,4.1712,4.6150237,95.9724,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-94.0968,2.8973461,4.1717,4.6145032,95.9692,Hui Zhang2022
42,50,0,0,6,0,2,1.718,0.60196,7.02,0.9446,0.7153,1.376,1.624,-30.7616,7.964553699,0.018154064,-90.7146,2.8974326,4.1724,4.61345031,95.9342,Hui Zhang2022